row,col,6oct,23nov,30nov,28dec
10,18,6.5,13.5,31,64
10,19,10,14,35.83333333,65
10,20,20,15,50,72.33333333
10,21,17,21.25,41.5,89.25
10,22,13.5,18.5,43.5,69
10,23,12.33333333,17.16666667,42.5,73.16666667
10,24,8.5,15.25,37.5,76.5
10,25,10,15,39.33333333,75.5
10,26,10.16666667,16,36,72.66666667
10,27,8.25,16,38.83333333,75.25
10,28,7.833333333,16.66666667,38.5,80.33333333
10,29,9.5,20,41.16666667,84.5
10,30,9.25,19,40.5,81.25
10,31,18.33333333,45.33333333,55.5,106.5
10,32,155.5,140.25,199,202.5
11,0,6.666666667,9.333333333,84.33333333,44.33333333
11,1,6,9.111111111,70.66666667,46.55555556
11,2,5.333333333,8.666666667,65.66666667,42.33333333
11,3,5,8.333333333,57,41.5
11,4,3.888888889,9.333333333,35.66666667,43.66666667
11,5,4,8.666666667,29,36.33333333
11,6,4.333333333,8.777777778,24.44444444,38.66666667
11,7,3.833333333,9.166666667,18,40.5
11,8,4.333333333,9.166666667,19,41
11,9,3.444444444,7.777777778,18,40.77777778
11,10,5,9,19,40.16666667
11,11,4.833333333,9.166666667,18,40.83333333
11,12,4.444444444,8.222222222,24.66666667,40.33333333
11,13,4,8.666666667,22,42
11,14,4.333333333,8.666666667,18.66666667,41.5
11,15,4.444444444,9.333333333,17.25,43.11111111
11,16,6,10.33333333,18.83333333,46.33333333
11,17,7.222222222,14.44444444,29,56.66666667
11,18,7.333333333,23.5,35,68.5
11,19,6.5,16,36.16666667,67.16666667
11,20,8.777777778,15.88888889,36,64.22222222
11,21,11.66666667,15.33333333,36.83333333,69.16666667
11,22,7.333333333,13.66666667,39.5,71
11,23,7.111111111,14.55555556,36,70.66666667
11,24,9.666666667,14.16666667,37.5,76.5
11,25,7.333333333,14.66666667,37.66666667,79
11,26,7,16.22222222,37,78.66666667
11,27,6.666666667,17.83333333,38.33333333,76.83333333
11,28,13,26.77777778,40.5,80.55555556
11,29,31.33333333,55.16666667,41.16666667,97
11,30,15.66666667,32.16666667,40,105.5
11,31,9.111111111,21.55555556,44.16666667,81.66666667
11,32,9.833333333,38,50.5,82.16666667
12,0,9,8.25,62.33333333,48
12,1,7.5,8.666666667,49.25,40.33333333
12,2,6.5,7.25,53,44.25
12,3,5.5,8.25,48.5,39.25
12,4,3.833333333,9.166666667,27.66666667,45.66666667
12,5,4,9,28,40
12,6,4.833333333,9.666666667,23,38
12,7,6.5,9.75,20.75,42.25
12,8,6.25,9,19.5,41
12,9,4,9,19,40
12,10,5,8,19,40.5
12,11,4,9,20.25,44.25
12,12,4.333333333,9,25.16666667,41
12,13,4.5,9.5,22,42
12,14,4.5,9.25,19.66666667,43
12,15,5,9.666666667,19,45.66666667
12,16,7.5,13.75,22.83333333,56.5
12,17,34.83333333,21.83333333,35.5,68.5
12,18,7,15.5,36.16666667,65
12,19,7,16,37.33333333,65
12,20,6.833333333,14.83333333,37,72.66666667
12,21,7.75,13.5,37,67
12,22,6.5,11.5,32,69
12,23,8.333333333,13.16666667,35.83333333,71.33333333
12,24,14.5,14.5,37,79.75
12,25,8.5,15.5,39.66666667,88.75
12,26,8.333333333,32,59.5,165.8333333
12,27,8,22.5,64.16666667,141.25
12,28,26.33333333,38.5,41,92.5
12,29,141.5,102.25,128.6666667,130.25
12,30,32,78.25,104.5,131.5
12,31,14,20.66666667,47.42857143,90
12,32,12.5,21,43.5,80
13,0,9.166666667,8.666666667,33.8,44.33333333
13,1,7.333333333,7.444444444,36.2,42.44444444
13,2,6.666666667,8,49.83333333,43.5
13,3,5.166666667,8,39.75,43.16666667
13,4,5,9,26,41.88888889
13,5,4.5,8.166666667,23,43
13,6,4.444444444,8,24.33333333,39.55555556
13,7,4.666666667,9,25,42.33333333
13,8,6,9,19,43
13,9,5.333333333,9.222222222,18,42.77777778
13,10,4.333333333,9,18,42.5
13,11,5.333333333,9.666666667,20,44.5
13,12,4.555555556,8.888888889,24,44
13,13,3.666666667,10.16666667,20,44
13,14,4,10.16666667,19,42.5
13,15,5.555555556,12.11111111,22,51.22222222
13,16,7,15.16666667,37,58.5
13,17,23.88888889,17.66666667,38.25,62.22222222
13,18,37,17.33333333,37.33333333,67.5
13,19,37.5,17.66666667,36.2,65.33333333
13,20,11.33333333,16.33333333,53.6,72.66666667
13,21,9.166666667,13.66666667,51.66666667,69.5
13,22,10.33333333,16,37,70.66666667
13,23,186.6666667,14.44444444,39.66666667,71
13,24,18.66666667,16.5,44.5,80
13,25,11.66666667,16.83333333,83.33333333,87.66666667
13,26,64.44444444,94.66666667,126.6666667,164.8888889
13,27,15,53.33333333,73.44444444,138.1666667
13,28,30.33333333,72.55555556,52.33333333,112.8888889
13,29,361.3333333,259,239.5555556,245.5
13,30,92.33333333,105.5,246.1666667,173.6666667
13,31,17.88888889,29.44444444,122,99
13,32,14.16666667,23,55,95.33333333
14,0,9,8,32.5,40.25
14,1,10,8.333333333,28.33333333,39.83333333
14,2,8,8.5,24.16666667,41.25
14,3,6,8.5,24.25,40
14,4,5.5,9.5,20.33333333,42.5
14,5,5,8.5,24.5,45.25
14,6,6.5,8.333333333,24.66666667,38.83333333
14,7,6,9,22.5,44
14,8,5.5,10,23.33333333,43.75
14,9,5,8.833333333,16,39.5
14,10,4.5,9.5,18.83333333,41
14,11,5,9,18.5,44
14,12,5,9.5,25.33333333,43.5
14,13,4,10,21,47
14,14,6,11,22.33333333,41
14,15,5.666666667,14,30.75,58
14,16,6.75,15,35,60.5
14,17,6.166666667,13.66666667,34,58.66666667
14,18,7.5,13.5,30.16666667,64
14,19,6,14,35,62.5
14,20,7.333333333,15,47.625,68.33333333
14,21,6.25,16,48.375,69.5
14,22,6.25,44.25,36.14285714,66
14,23,7.166666667,17.5,39.66666667,78.16666667
14,24,7.25,16.5,39.33333333,73.5
14,25,7.75,17.25,45.77777778,78.25
14,26,8,20.16666667,48,85.66666667
14,27,9,19.75,48.5,92.25
14,28,40.83333333,62.5,40,96.66666667
14,29,73.75,160.5,98.66666667,145
14,30,50,77.5,130.5,138.5
14,31,22,31.5,61.5,106.1666667
14,32,15.5,24.5,57.25,98.75
15,0,8,9,28.5,42.75
15,1,8.666666667,8.5,23,38.16666667
15,2,8,8,23,39.25
15,3,8,8,30.6,42.5
15,4,5.5,8,24.33333333,43.33333333
15,5,7.5,9,23,46
15,6,7.166666667,8,22.16666667,43.33333333
15,7,6,8.25,19.5,38.5
15,8,5,8.5,17.66666667,40.25
15,9,4.833333333,8.5,17,40.16666667
15,10,4.25,9.25,17.33333333,42
15,11,3.25,9.5,16,39.5
15,12,4.5,9.333333333,18.83333333,46
15,13,8.25,9,20.25,47.75
15,14,11,13.25,29.625,53
15,15,7.666666667,19.66666667,35,59.83333333
15,16,10.75,15.75,49.55555556,64
15,17,7.666666667,14.33333333,36.33333333,61.66666667
15,18,6.5,14.5,34.88888889,65
15,19,7,15,33.33333333,66.5
15,20,6.333333333,15.66666667,37.85714286,70.33333333
15,21,6.75,36,43,76.5
15,22,8,37.5,39.83333333,79.75
15,23,6.833333333,29.33333333,60,111.6666667
15,24,7,17.5,43,81.5
15,25,7.5,18,44.33333333,82
15,26,7.5,18.16666667,43.75,80.16666667
15,27,78.5,36,79.33333333,106.75
15,28,98.5,114.5,168,127.3333333
15,29,30.25,27.25,115.8333333,130
15,30,80.75,101,160,183.25
15,31,143.6666667,171.8333333,146.3333333,182.6666667
15,32,53.75,40,84.5,117.5
16,0,8.833333333,7.833333333,26.25,37.66666667
16,1,8.555555556,8,22.33333333,40.11111111
16,2,8.666666667,7.333333333,20,38.66666667
16,3,8.5,8,38,38.66666667
16,4,7.555555556,8.666666667,44,37.22222222
16,5,7.666666667,7.666666667,49,42.83333333
16,6,7.666666667,8.666666667,24.33333333,40.77777778
16,7,4.666666667,7.833333333,22,38.66666667
16,8,6,8.166666667,18.66666667,43.33333333
16,9,5.222222222,8.222222222,17,45.11111111
16,10,5.333333333,8.5,17.66666667,46
16,11,4.666666667,9.666666667,18.33333333,43.66666667
16,12,4.666666667,9.777777778,20.11111111,48.11111111
16,13,6,12.33333333,28.83333333,57.83333333
16,14,6.333333333,14.83333333,33.14285714,57.83333333
16,15,7.222222222,21.22222222,36.5,66.11111111
16,16,15.16666667,17.33333333,40.5,67.33333333
16,17,9.777777778,14.66666667,37,62.88888889
16,18,7.333333333,13.66666667,38,64.66666667
16,19,7,14,37.5,64.33333333
16,20,6.333333333,15.88888889,40.16666667,69.11111111
16,21,6.666666667,15.83333333,41,78
16,22,6.166666667,16.33333333,42.66666667,84.33333333
16,23,6.222222222,34.88888889,58,97.33333333
16,24,6.333333333,19.66666667,50.4,82.16666667
16,25,7,18,40,84
16,26,8.777777778,20.77777778,45.5,81.66666667
16,27,25.16666667,30.33333333,91.16666667,102.6666667
16,28,13.11111111,55.66666667,93,106
16,29,49,58.33333333,121.8333333,132.3333333
16,30,106,75.16666667,138,159.1666667
16,31,179.6666667,192.2222222,288,189.7777778
16,32,279.3333333,295.3333333,314.5,267.3333333
17,0,6.5,8.5,19.5,44
17,1,8,7.5,21,41.33333333
17,2,7.5,8.25,23,39.5
17,3,7.5,8.5,30.55555556,38
17,4,7.166666667,7.5,49.42857143,42.5
17,5,8.25,9,54.125,42.25
17,6,8.333333333,8,28,42.16666667
17,7,6,8.5,22.83333333,40.75
17,8,6.75,7.75,19.66666667,41.5
17,9,6,7.333333333,18.25,45.33333333
17,10,5.25,8,19,42.75
17,11,6,10.5,18.5,47.25
17,12,7.666666667,12.33333333,29.33333333,69.16666667
17,13,7.5,14.5,33.5,62.5
17,14,9.5,15,35.5,72.25
17,15,7,25.66666667,42,71.83333333
17,16,8.5,19.25,40.66666667,68.25
17,17,10,16.33333333,39.75,65.16666667
17,18,7,12.25,33.66666667,61
17,19,5.75,15,34,67.5
17,20,6,15.83333333,40.66666667,72.83333333
17,21,8.25,25.5,42,78.25
17,22,9,17.75,42.5,89.75
17,23,6.333333333,15,41.75,100
17,24,6,17.5,39.66666667,80.75
17,25,8.5,16.5,42.66666667,75
17,26,8.666666667,17.33333333,44,82
17,27,9.25,17.5,44,89
17,28,10.16666667,23.16666667,47,93.33333333
17,29,90.5,106.75,90.66666667,133.25
17,30,128,55.5,171,137.5
17,31,57.5,56.66666667,98.33333333,115.3333333
17,32,175,257,186.5,180
18,0,6,8.75,18.33333333,41
18,1,8.333333333,8.833333333,23.75,39.33333333
18,2,7.5,8.5,24,39
18,3,7.5,8,35,40
18,4,7.333333333,8,38.5,42.33333333
18,5,8.5,8.5,39.16666667,42.75
18,6,9.5,7.666666667,28,41
18,7,7.5,9,22.2,41
18,8,8,7.5,17.66666667,39
18,9,7.5,8.166666667,17,46.33333333
18,10,8.25,8.5,18,43.75
18,11,10.5,11.5,25.25,55.75
18,12,11,14.33333333,36.5,85.83333333
18,13,11,16.25,39.75,95
18,14,14.5,13.75,36.83333333,76.75
18,15,23.5,20.16666667,40.75,79.33333333
18,16,15,14.5,38.5,73
18,17,7.5,14.66666667,35.75,68.33333333
18,18,6,15,35.16666667,68.5
18,19,5,15.5,36.5,67.5
18,20,6.166666667,16.16666667,39.5,71.5
18,21,6.25,33.5,69.5,76
18,22,6,19.25,60.33333333,78.25
18,23,5,17.33333333,41.75,74.66666667
18,24,6.5,16.5,42.16666667,81.25
18,25,81,40.5,123,110.5
18,26,91.16666667,149.1666667,146.6666667,116.1666667
18,27,9,39,81.33333333,97.5
18,28,44.5,47.33333333,69,101
18,29,94,141.25,97,139.25
18,30,183.5,179,186,149
18,31,28.5,36.16666667,84.28571429,128.3333333
18,32,46,48,93.66666667,178.25
19,0,7.666666667,8.666666667,17,37.66666667
19,1,7.666666667,7.888888889,21.5,35.22222222
19,2,7.833333333,7.666666667,27.25,35.5
19,3,7.166666667,7.5,29,43
19,4,7.444444444,8.111111111,36,37.11111111
19,5,9.5,8.666666667,28.33333333,43.33333333
19,6,9.666666667,7.888888889,23,40.66666667
19,7,7.833333333,8.5,18.66666667,44
19,8,7,8.166666667,18.83333333,41
19,9,7.222222222,9,18.75,44.77777778
19,10,8,12.33333333,21.5,56
19,11,9.666666667,15,34.5,71
19,12,19,17.22222222,52,75.77777778
19,13,23.33333333,67,80.5,123
19,14,13.33333333,16.33333333,39.83333333,69.83333333
19,15,10.11111111,13,36,70.88888889
19,16,7,13.16666667,34.5,69.16666667
19,17,6.555555556,15.11111111,34.5,73.22222222
19,18,5.833333333,15,37.33333333,71.83333333
19,19,6.666666667,15.33333333,38.5,72.83333333
19,20,5.111111111,15.11111111,40.5,73.77777778
19,21,6.333333333,17.5,56.5,71.33333333
19,22,8,18.66666667,48.66666667,74.5
19,23,5.777777778,18.44444444,52.75,87.88888889
19,24,6.5,21,60.66666667,84.33333333
19,25,107,90.16666667,193,111.5
19,26,49.55555556,64.11111111,165.8571429,113.6666667
19,27,12.66666667,20.66666667,52.85714286,85.66666667
